Card Name,Rewards Method,Annual Fee,Annual Scheme Fee ,Conversion rate (Points Earn Rate),Rate,Points per dollar,Bank,Capped
ANZ Cashback Visa ,Cashback Rewards,60,0,"1 Point per $1 up to 30,000 cashback points per cashback year",1,100,ANZ,1
ANZ Cashback Visa Platinum ,Cashback Rewards,125,0,1 point per $1 (uncapped),1,100,ANZ,0
BNZ Advantage Classic,Cashback Rewards,40,0,$1 cash back per $150 of purchases ,0.006666667,1,BNZ,0
BNZ Advantage Visa Platinum,Cashback Rewards,90,0,$1 cash back per $90 of purchases ,0.011111111,1,BNZ,0
